Category,Caliber,Product,Description,Cost,RoundsPerBox,Usage,CostPerRound
Rifle,223 Remington,223 Remington - 60gn V-Max,60gn V-Max,25.00,20,Hunting,1.25
Rifle,223 Remington,223 Remington - 70gn Boat Tail Hollow Point Match - (BTHPM),70gn Boat Tail Hollow Point Match - (BTHPM),25.00,20,Hunting,1.25
Rifle,22-250,22-250 - 50gn V-Max,50gn V-Max,35.00,20,Hunting,1.75
Rifle,22-250,22-250 - 55gn Full Metal Jacket - BT,55gn Full Metal Jacket - BT,35.00,20,Target / Training,1.75
Rifle,22-250,22-250 - 55 Boat Tail Hollow Point - (BTHP),55 Boat Tail Hollow Point - (BTHP),35.00,20,Target / Training / Hunting,1.75
Rifle,22-250,22-250 - 55gn Nosler Varmegeddon - Ballistic Tip,55gn Nosler Varmegeddon - Ballistic Tip,35.00,20,Hunting,1.75
Rifle,22-250,22-250 - 55gn Ballistic Silver Tip,55gn Ballistic Silver Tip,35.00,20,Hunting,1.75
Rifle,22-250,22-250 - 60gn V-Max,60gn V-Max,35.00,20,Hunting,1.75
Rifle,22-250,22-250 - 70gn Boat Tail Hollow Point Match - (BTHPM),70gn Boat Tail Hollow Point Match - (BTHPM),35.00,20,Hunting,1.75
Rifle,243 Winchester,243 Winchester - 87gn Interlock Soft Point,87gn Interlock Soft Point,40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 80gn GMX Solid (discontinued),80gn GMX Solid (discontinued),40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 88gn Berger - HP,88gn Berger - HP,40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 90gn Nosler Ballistic Tip,90gn Nosler Ballistic Tip,40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 100gn Interlock Soft Point Boat Tail - (SPBT),100gn Interlock Soft Point Boat Tail - (SPBT),40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 103gn ELD-X,103gn ELD-X,40.00,20,Hunting,2.00
Rifle,243 Winchester,243 Winchester - 108 ELD-X,108 ELD-X,40.00,20,Hunting,2.00
Rifle,6.5 Grendel,6.5 Grendel - 123gn ELD-X,123gn ELD-X,40.00,20,Hunting,2.00
Rifle,6.5 Creedmoor,6.5 Creedmoor - 123gn ELD-X,123gn ELD-X,35.00,20,Hunting,1.75
Rifle,6.5 Creedmoor,6.5 Creedmoor - 140gn Berger VLD,140gn Berger VLD,45.00,20,Hunting / Target,2.25
Rifle,6.5 Creedmoor,6.5 Creedmoor - 140gn Boat Tail Hollow Point - (BTHP),140gn Boat Tail Hollow Point - (BTHP),40.00,20,Hunting,2.00
Rifle,6.5 Creedmoor,6.5 Creedmoor - 140gn ELD-X,140gn ELD-X,40.00,20,Hunting,2.00
Rifle,6.5 Creedmoor,6.5 Creedmoor - 147 ELD-X,147 ELD-X,40.00,20,Hunting,2.00
Rifle,6.5 PRC,6.5 PRC - 120gn Barnes TTSX -(triple shock),120gn Barnes TTSX -(triple shock),50.00,20,Hunting,2.50
Rifle,6.5 PRC,6.5 PRC - 140 Boat Tail Hollow Point Match - (BTHPM),140 Boat Tail Hollow Point Match - (BTHPM),50.00,20,Hunting,2.50
Rifle,6.5 PRC,6.5 PRC - 140gn Berger VLD,140gn Berger VLD,55.00,20,Hunting,2.75
Rifle,6.5 PRC,6.5 PRC - 147gn ELD-X,147gn ELD-X,55.00,20,Hunting,2.75
Rifle,25-06,25-06 - 117gn SST,117gn SST,42.00,20,Hunting,2.10
Rifle,25-06,25-06 - 120gn SST,120gn SST,40.00,20,Hunting,2.00
Rifle,270 Winchester,270 Winchester - 110gn V-Max,110gn V-Max,22.50,20,Hunting,1.12
Rifle,270 Winchester,270 Winchester - 130gn Interlock Pointed Soft Point,130gn Interlock Pointed Soft Point,22.50,20,Hunting,1.12
Rifle,270 Winchester,270 Winchester - 130gn SST,130gn SST,25.00,20,Hunting,1.25
Rifle,270 Winchester,270 Winchester - 130gn Power Point,130gn Power Point,25.00,20,Hunting,1.25
Rifle,270 Winchester,270 Winchester - 145gn ELD-X,145gn ELD-X,40.00,20,Hunting,2.00
Rifle,7mm Remington Magnum,7mm Remington Magnum - 130gn Soft Point,130gn Soft Point,35.00,20,Hunting,1.75
Rifle,7mm Remington Magnum,7mm Remington Magnum - 154gn SST,154gn SST,50.00,20,Hunting,2.50
Rifle,7mm Remington Magnum,7mm Remington Magnum - 162gn ELD-X,162gn ELD-X,50.00,20,Hunting,2.50
Rifle,300 Blackout,300 Blackout - 110gn V-Max,110gn V-Max,35.00,20,Hunting,1.75
Rifle,300 Blackout,300 Blackout - 155gn A-Max,155gn A-Max,35.00,20,Hunting,1.75
Rifle,300 Blackout,300 Blackout - 168gn Boat Tail Hollow Point - (BTHP),168gn Boat Tail Hollow Point - (BTHP),35.00,20,Hunting,1.75
Rifle,300 Blackout,300 Blackout - 195gn ELD-X,195gn ELD-X,35.00,20,Hunting,1.75
Rifle,30-30 Winchester,30-30 Winchester - 150gn Interlock - RN,150gn Interlock - RN,25.00,20,Hunting,1.25
Rifle,30-30 Winchester,30-30 Winchester - 160gn FTX,160gn FTX,32.00,20,Hunting,1.60
Rifle,30-30 Winchester,30-30 Winchester - 170gn Silver Tip - FN,170gn Silver Tip - FN,25.00,20,Hunting,1.25
